"Installation Name","Program Name","Installation type","Year Energized",GeoCode,Address,City,State,Zip,"Project Status","Utility Name","Project Developer or Owner","Project Capacity KW-AC","System Size Category","LMI Share of Capacity","LMI Project Capacity KW-AC","LMI Requirement","Utility Type","Regulatory Structure","Energy Rate Average","Energy Rate Category","Community Solar Bill Credit Value","Community Solar Enabling Legislation","Value of State Level RECs & Subsidies","Eligible for Tax Benefits","LMI Customer Savings (category)","LMI Customer Savings %","Minimum LMI Savings Mandated","Potential # LMI Subscribers"
"IP Solar NJ LLC - 3","New Jersey Community Solar Pilot Program Phase 1",Roof,2021,"-74.16176870967519,40.07259796421453","1970 Rutgers Boulevard","Lakewood Township","New Jersey",08701,Operational,jersey-central-power-and-light,"Cedar Solar",305,"Less than 500 KW",51,155,Carve-out,"Investor-owned utility (IOU)",Regulated,0.16,"High = more than $0.15 per kWh","Retail Rate","Enabling Legislation","High = more than 25% of value stack",Yes,"Low = less than 20%",18,No,62
"IP Solar NJ LLC - 4","New Jersey Community Solar Pilot Program Phase 1",Roof,2021,"-74.16578068486231,40.07778445721536","1915 Swarthmore Avenue","Lakewood Township","New Jersey",08701,Operational,jersey-central-power-and-light,"Cedar Solar",246,"Less than 500 KW",51,126,Carve-out,"Investor-owned utility (IOU)",Regulated,0.16,"High = more than $0.15 per kWh","Retail Rate","Enabling Legislation","High = more than 25% of value stack",Yes,"Low = less than 20%",18,No,50
"IP Solar NJ LLC - 5","New Jersey Community Solar Pilot Program Phase 1",Roof,2021,"-74.17742081580563,40.077780038678014","150 N. Oberlin Avenue","Lakewood Township","New Jersey",08701,Operational,jersey-central-power-and-light,"Cedar Solar",747,"500 KW to 1,999 KW",51,381,Carve-out,"Investor-owned utility (IOU)",Regulated,0.16,"High = more than $0.15 per kWh","Retail Rate","Enabling Legislation","High = more than 25% of value stack",Yes,"Low = less than 20%",18,No,152
"IP Solar NJ LLC - 6","New Jersey Community Solar Pilot Program Phase 1",Roof,2021,"-74.17812272285904,40.0772266684441","170 N. Oberlin Avenue","Lakewood Township","New Jersey",08701,Operational,jersey-central-power-and-light,"Cedar Solar",850,"500 KW to 1,999 KW",51,434,Carve-out,"Investor-owned utility (IOU)",Regulated,0.16,"High = more than $0.15 per kWh","Retail Rate","Enabling Legislation","High = more than 25% of value stack",Yes,"Low = less than 20%",18,No,173
"Jeffco Community Solar Gardens LLC","Solar Rewards Community CO",Ground,2016,"-105.151025,39.858643","8895 Alkire St",Arvada,Colorado,80005,Operational,"Public Service Company of Colorado (PSCo)",SunShare,1154,"500 KW to 1,999 KW",5,55,Carve-out,"Investor-owned utility (IOU)",Regulated,0.12,"Moderate = $0.11 - $0.15 per kWh","Supply-only/Avoided Cost","Enabling Legislation","Moderate = 10% to 25% of value stack",Yes,"High = greater than 50%",50,No,22
"Jim and Salle's Place Apartments","Jim and Salle's Place Apartments",Roof,2021,"-122.584835,45.484427","7531-7629 SE Steele Street",Portland,Oregon,97206,Operational,"Portland Gas and Electric (PGE)","ROSE Community Development",40,"Less than 500 KW",100,40,"Income eligible only","Investor-owned utility (IOU)",Deregulated,0.11,"Moderate = $0.11 - $0.15 per kWh","Retail Rate","Enabling Legislation","Moderate = 10% to 25% of value stack",Yes,"High = greater than 50%",100,Yes,16
"JOE-4-SUN Ashland",JOE-4Sun,Ground,2020,"-71.47542477988272,42.25800194784776","2 Cirrus Dr",Ashland,Massachusetts,01721,Operational,Eversource,"Citizens Enterprises Corporation",4286,"More than 2 MW",50,6910,Carve-out,"Investor-owned utility (IOU)",Deregulated,0.22,"High = more than $0.15 per kWh","Retail Rate","Enabling Legislation","Moderate = 10% to 25% of value stack",Yes,"High = greater than 50%",25,No,625
"JOE-4-SUN Falmouth",SMART,Ground,2021,"-70.59804506353439,41.610870412826266","458 Thomas B Landers Rd",Falmouth,Massachusetts,02536,Operational,"Eversource MA East","Citizens Energy Corporation",1500,"500 KW to 1,999 KW",51,768,Carve-out,"Investor-owned utility (IOU)",Deregulated,0.22,"High = more than $0.15 per kWh","Retail Rate","Enabling Legislation","Moderate = 10% to 25% of value stack",Yes,"Moderate = 20% to 50%",35,Yes,250
"JOE-4-SUN: Ayer Installation",JOE-4-SUN,Ground,2020,"-71.58949927259333,42.570370046430455","Pine Knoll Rd",Ayer,Massachusetts,01432,Operational,"National Grid (Massachusetts Electric)","Citizens Enterprises Corporation",750,"500 KW to 1,999 KW",100.00,750.00,Carve-out,"Investor-owned utility (IOU)",Deregulated,0.22,"High = more than $0.15 per kWh","Retail Rate","Enabling Legislation","Moderate = 10% to 25% of value stack",Yes,"High = greater than 50%",50.00,No,300
"JOE-4-SUN: Bridgewater Installation",JOE-4-SUN,Ground,2020,"-70.93639912620583,41.96476898893799","Solar Wy",Bridgewater,Massachusetts,02324,Operational,"National Grid (Massachusetts Electric)","Citizens Energy Corporation",820,"500 KW to 1,999 KW",100.00,820.00,Carve-out,"Investor-owned utility (IOU)",Deregulated,0.22,"High = more than $0.15 per kWh","Retail Rate","Enabling Legislation","Moderate = 10% to 25% of value stack",Yes,"High = greater than 50%",50.00,No,328
"JOE-4-SUN: Spencer Installation",JOE-4-SUN,Ground,2020,"-71.98061813269352,42.242843522077024","28 Sunset Ln",Spencer,Massachusetts,01562,Operational,"National Grid (Massachusetts Electric)","Citizens Enterprises Corporation",2350,"More than 2 MW",100.00,2350.00,"Income eligible only","Investor-owned utility (IOU)",Deregulated,0.22,"High = more than $0.15 per kWh","Retail Rate","Enabling Legislation","Moderate = 10% to 25% of value stack",Yes,"High = greater than 50%",50.00,No,940
"JOE-4-SUN: Springfield Installation",JOE-4-SUN,Ground,2020,"-72.55461304198678,42.132646859219165","145 Performance Blvd",Springfield,Massachusetts,01104,Operational,Eversource,"Citizens Enterprises Corporation",3520,"More than 2 MW",100.00,3520.00,"Income eligible only","Investor-owned utility (IOU)",Deregulated,0.22,"High = more than $0.15 per kWh","Retail Rate","Enabling Legislation","Moderate = 10% to 25% of value stack",Yes,"High = greater than 50%",50.00,No,1408
"Kaiser Creek Solar","Oregon Shines",Ground,2021,"-122.608206,45.143431","31951 OR-213",Molalla,Oregon,97038,Planned,"Portland Gas and Electric (PGE)","Kaiser Creek Project Manager",2000,"More than 2 MW",10,200,Carve-out,"Investor-owned utility (IOU)",Deregulated,0.11,"Moderate = $0.11 - $0.15 per kWh","Retail Rate","Enabling Legislation","Moderate = 10% to 25% of value stack",Yes,"Moderate = 20% to 50%",25,No,80
"Kearsarge Johnstown","Solar For All (NY-Sun)",Ground,2018,"-74.360339,43.065328","287 West St",Johnstown,"New York",12078,Operational,"National Grid",kearsarge-energy,4770,"More than 2 MW",42,2003,Carve-out,"Investor-owned utility (IOU)",Deregulated,0.18,"High = more than $0.15 per kWh","Value of Solar","Enabling Legislation","Moderate = 10% to 25% of value stack",Yes,"High = greater than 50%",100,Yes,330
"Kearsarge Upper Union LLC",SMART,Ground,2022,"-71.39840164978408,42.04604577882104","1027-1091 Upper Union St",Franklin,Massachusetts,02038,Planned,"National Grid (Massachusetts Electric)",,996,"500 KW to 1,999 KW",51,508,Carve-out,"Investor-owned utility (IOU)",Deregulated,0.22,"High = more than $0.15 per kWh","Retail Rate","Enabling Legislation","Moderate = 10% to 25% of value stack",Yes,"Moderate = 20% to 50%",35,Yes,203
"Kingsville Community Solar","Kingsville Community Solar",Ground,2021,"-76.40011953961725,39.42057385791678",,Kingsville,Maryland,,Operational,"Baltimore Gas and Electric (BGE)","Nautilus Solar",2000,"More than 2 MW",30,600,Carve-out,"Investor-owned utility (IOU)",Deregulated,0.13,"Moderate = $0.11 - $0.15 per kWh","Retail Rate","Enabling Legislation","High = more than 25% of value stack",Yes,"Moderate = 20% to 50%",25,No,157
"La Loma Array - Austin Energy","Austin Energy Community Solar",Ground,2018,"-97.753346,30.260239","900 Barton Springs Rd",Austin,Texas,78704,Operational,"Austin Energy","Austin Energy",2600,"More than 2 MW",50,1300,Carve-out,"Municipally-owned utility",Deregulated,0.12,"Moderate = $0.11 - $0.15 per kWh","Supply-only/Avoided Cost","No enabling legislation, but projects exist","Low = less than 10% of value stack",No,"Low = less than 20%",11,No,220
"Lafayette Horizon Solar CSG LLC","Solar Rewards Community CO",Ground,2019,"-105.061144,39.980071","1385 Horizon Ave",Lafayette,Colorado,80026,Operational,"Public Service Company of Colorado (PSCo)","Community Energy ",1535,"500 KW to 1,999 KW",5,77,Carve-out,"Investor-owned utility (IOU)",Regulated,0.12,"Moderate = $0.11 - $0.15 per kWh","Supply-only/Avoided Cost","Enabling Legislation","Moderate = 10% to 25% of value stack",Yes,"High = greater than 50%",50,No,31
"Lafayette Solar LLC","Solar Rewards Community CO",Ground,2013,"-105.061239,39.982030","1382 Horizon Avebue",Lafayette,Colorado,80026,Operational,"Public Service Company of Colorado (PSCo)","Community Energy ",384,"Less than 500 KW",5,19,Carve-out,"Investor-owned utility (IOU)",Regulated,0.12,"Moderate = $0.11 - $0.15 per kWh","Supply-only/Avoided Cost","Enabling Legislation","Moderate = 10% to 25% of value stack",Yes,"High = greater than 50%",100,No,8
"LeGore Solar Energy Center, LLC","Maryland Community Solar Pilot Program",Ground,2021,"-77.33093174167709,39.55437515578932","9748 Steiner Smith Road",Woodsboro,Maryland,21798,Operational,"Potomac Edison","LeGore Solar Energy Center, LLC",1950,"500 KW to 1,999 KW",30.00,585.00,Carve-out,"Investor-owned utility (IOU)",Deregulated,0.13,"Moderate = $0.11 - $0.15 per kWh","Retail Rate","Enabling Legislation","High = more than 25% of value stack",Yes,"Moderate = 20% to 50%",25.00,No,234
"Life in Christ Ministries Inc.","New Jersey Community Solar Pilot Program Phase 1",Mixed,2021,"-75.04825574474742,39.96940525464039","7201 Westfield Avenue","Township
of Pennsauken","New Jersey",08110,Operational,"Public Service Electric and Gas (PSE&G)","Solar Landscape",2362,"More than 2 MW",51,1204,Carve-out,"Investor-owned utility (IOU)",Regulated,0.16,"High = more than $0.15 per kWh","Retail Rate","Enabling Legislation","High = more than 25% of value stack",Yes,"Low = less than 20%",15,No,482
"Lightview Cooperative (6600 Georgia Ave NW)","DC Solar for All",Roof,2020,"-77.02758030667334,38.97012094843381","6600 Georgia Ave NW",Washington,"District of Columbia",20012,Operational,"Potomac Electric Power Company (Pepco) DC","New Columbia Solar",22,"Less than 500 KW",100,22,"Income eligible only","Investor-owned utility (IOU)",Deregulated,0.13,"Moderate = $0.11 - $0.15 per kWh","Retail Rate","Enabling Legislation","High = more than 25% of value stack",Yes,"High = greater than 50%",100,Yes,9
"Linden Hawk Rise Solar LLC","New Jersey Community Solar Pilot Program Phase 1",Ground,2021,"-74.2462087242434,40.60331298156374","1451 Lower Road",Linden,"New Jersey",07036,Operational,"Public Service Electric and Gas (PSE&G)","Hathaway Solar, LLC",3846,"More than 2 MW",51,1962,Carve-out,"Investor-owned utility (IOU)",Regulated,0.16,"High = more than $0.15 per kWh","Retail Rate","Enabling Legislation","High = more than 25% of value stack",Yes,"Low = less than 20%",18,No,785
"Linkville Solar","Oregon Shines",Ground,2021,"-121.814578,42.207661","Volcanic Legacy Scenic Byway","Klamath Falls",Oregon,97601,Operational,"Pacific Power","Linkville PM",2800,"More than 2 MW",10,280,Carve-out,"Investor-owned utility (IOU)",Deregulated,0.11,"Moderate = $0.11 - $0.15 per kWh","Retail Rate","Enabling Legislation","Moderate = 10% to 25% of value stack",Yes,"Moderate = 20% to 50%",25,No,112
"LSE Ophiuchus LLC",SMART,Ground,2022,"-70.5332971240331,41.67143526952356","23 Falmouth-Sandwich Rd",Sandwich,Massachusetts,02644,Planned,"Eversource MA East",,2125,"More than 2 MW",51,1084,Carve-out,"Investor-owned utility (IOU)",Deregulated,0.22,"High = more than $0.15 per kWh","Retail Rate","Enabling Legislation","Moderate = 10% to 25% of value stack",Yes,"Moderate = 20% to 50%",35,Yes,434
"LW Solar NJ LLC - 1","New Jersey Community Solar Pilot Program Phase 1",Roof,2021,"-74.17451338726313,40.07268967740889","180 Lehigh Avenue","Lakewood Township","New Jersey",08701,Operational,jersey-central-power-and-light,"Cedar Solar",491,"Less than 500 KW",51,250,Carve-out,"Investor-owned utility (IOU)",Regulated,0.16,"High = more than $0.15 per kWh","Retail Rate","Enabling Legislation","High = more than 25% of value stack",Yes,"Low = less than 20%",18,No,100
"LW Solar NJ LLC - 2","New Jersey Community Solar Pilot Program Phase 1",Roof,2021,"-74.18130968571806,40.07898886091325","120 Kenyon Drive","Lakewood Township","New Jersey",08707,Operational,jersey-central-power-and-light,"Cedar Solar",549,"500 KW to 1,999 KW",51,280,Carve-out,"Investor-owned utility (IOU)",Regulated,0.16,"High = more than $0.15 per kWh","Retail Rate","Enabling Legislation","High = more than 25% of value stack",Yes,"Low = less than 20%",18,No,112
"LW Solar NJ LLC - 3","New Jersey Community Solar Pilot Program Phase 1",Roof,2021,"-74.16158716766515,40.07419575182222","1955 Swarthmore Avenue","Lakewood Township","New Jersey",08701,Operational,jersey-central-power-and-light,"Cedar Solar",388,"Less than 500 KW",51,198,Carve-out,"Investor-owned utility (IOU)",Regulated,0.16,"High = more than $0.15 per kWh","Retail Rate","Enabling Legislation","High = more than 25% of value stack",Yes,"Low = less than 20%",18,No,79
"LW Solar NJ LLC - 4","New Jersey Community Solar Pilot Program Phase 1",Roof,2021,"-74.17710668387116,40.060437941653134","750 Airport Road","Lakewood Township","New Jersey",08701,Operational,jersey-central-power-and-light,"Cedar Solar",330,"Less than 500 KW",51,168,Carve-out,"Investor-owned utility (IOU)",Regulated,0.16,"High = more than $0.15 per kWh","Retail Rate","Enabling Legislation","High = more than 25% of value stack",Yes,"Low = less than 20%",18,No,67
"LW Solar NJ LLC - 5","New Jersey Community Solar Pilot Program Phase 1",Roof,2021,"-74.17315145503535,40.07231013288833","200 Lehigh Avenue","Lakewood Township","New Jersey",08701,Operational,jersey-central-power-and-light,"Cedar Solar",685,"500 KW to 1,999 KW",51,349,Carve-out,"Investor-owned utility (IOU)",Regulated,0.16,"High = more than $0.15 per kWh","Retail Rate","Enabling Legislation","High = more than 25% of value stack",Yes,"Low = less than 20%",18,No,140
"Madison Park Development (17 rooftops)",SMART,Roof,2021,"-71.08499233425412,42.331236796908144",,Boston,Massachusetts,,Operational,"Madison Park Development Corporation (MPDC), Bright Community Capital (BCC)","Resonant Energy",580,"500 KW to 1,999 KW",100,580,Carve-out,"Investor-owned utility (IOU)",Deregulated,0.22,"High = more than $0.15 per kWh","Retail Rate","Enabling Legislation","Moderate = 10% to 25% of value stack",Yes,"Moderate = 20% to 50%",35,Yes,430
"Manchester Solar LLC","Common Energy",Ground,2021,"-123.052197,45.223544","18100 SE Neck Rd",Dayton,Oregon,97114,Operational,"Portland Gas and Electric (PGE)","Solar Town",1800,"500 KW to 1,999 KW",10,180,Carve-out,"Investor-owned utility (IOU)",Deregulated,0.11,"Moderate = $0.11 - $0.15 per kWh","Retail Rate","Enabling Legislation","Moderate = 10% to 25% of value stack",Yes,"Moderate = 20% to 50%",20,No,72
"Manchester Township","New Jersey Community Solar Pilot Program Phase 1",Ground,2021,"-74.40642955776559,39.96161235112863","1501 NJ-70","Manchester Township","New Jersey",08759,Operational,jersey-central-power-and-light,"Manchester Township",3554,"More than 2 MW",51,1812,Carve-out,"Investor-owned utility (IOU)",Regulated,0.16,"High = more than $0.15 per kWh","Retail Rate","Enabling Legislation","High = more than 25% of value stack",Yes,"Low = less than 20%",18,No,725
"Marble Solar","Marble Solar",Ground,2022,"-123.055639,44.629420","Santiam Hwy SE",Portland,Oregon,97322,Planned,"Portland Gas and Electric (PGE)","Sulus Solar",2875,"More than 2 MW",10,288,Carve-out,"Investor-owned utility (IOU)",Deregulated,0.11,"Moderate = $0.11 - $0.15 per kWh","Retail Rate","Enabling Legislation","Moderate = 10% to 25% of value stack",Yes,"Moderate = 20% to 50%",20,No,115
"Mascoma Meadows","ROC Community Solar",Ground,2019,"-72.17160526677138,43.650999670689146","10 Ruddsboro Rd",Lebanon,"New Hampshire",03766,Operational,"Liberty Utilities","Revision Energy",100,"Less than 500 KW",100.00,100.00,"Income eligible only","Investor-owned utility (IOU)",Regulated,0.19,"High = more than $0.15 per kWh","Retail Rate","Enabling Legislation","Low = less than 10% of value stack",Yes,"High = greater than 50%",50.00,No,50
"MassAmerican Energy LLC",SMART,Roof,2022,"-71.4278717078821,42.661503124161385",,Tyngsborough,Massachusetts,01879,Planned,"National Grid (Massachusetts Electric)","MassAmerican Energy LLC",250,"Less than 500 KW",51,128,Carve-out,"Investor-owned utility (IOU)",Deregulated,0.22,"High = more than $0.15 per kWh","Retail Rate","Enabling Legislation","Moderate = 10% to 25% of value stack",Yes,"Moderate = 20% to 50%",35,Yes,51
"Mayhill Solar LLC","New Jersey Community Solar Pilot Program Phase 2",Roof,2022,"-74.0926410295844,40.90201597232921","301 Mayhill Street","Saddle Brook","New Jersey",07663,Planned,"Public Service Electric and Gas (PSE&G)","Mayhill Solar LLC",1231,"500 KW to 1,999 KW",51,628,Carve-out,"Investor-owned utility (IOU)",Regulated,0.16,"High = more than $0.15 per kWh","Retail Rate","Enabling Legislation","High = more than 25% of value stack",Yes,"Low = less than 20%",18,No,251
"Meade Communities LLC","Maryland Community Solar Pilot Program",Ground,2022,"-76.79602989978875,39.6382092712953","18627 Falls Rd",Hampstead,Maryland,21074,Planned,"Baltimore Gas and Electric (BGE)","Meade Communities LLC",1700,"500 KW to 1,999 KW",30,510,Carve-out,"Investor-owned utility (IOU)",Deregulated,0.13,"Moderate = $0.11 - $0.15 per kWh","Retail Rate","Enabling Legislation","High = more than 25% of value stack",Yes,"Moderate = 20% to 50%",25,No,204
"Mesa CSG 1 LLC - Massicote","Solar Rewards Community CO",Ground,2019,"-108.651366,39.112033","2169 River Road","Grand Junction",Colorado,81505,Operational,"Public Service Company of Colorado (PSCo)","Pivot Energy",1530,"500 KW to 1,999 KW",10,153,Carve-out,"Investor-owned utility (IOU)",Regulated,0.12,"Moderate = $0.11 - $0.15 per kWh","Supply-only/Avoided Cost","Enabling Legislation","Moderate = 10% to 25% of value stack",Yes,"High = greater than 50%",50,No,61
"Mesa CSG 2 LLC - Massicote","Solar Rewards Community CO",Ground,2019,"-108.419002,39.047007","3411 C RD",Palisade,Colorado,81526,Operational,"Public Service Company of Colorado (PSCo)","Pivot Energy",1535,"500 KW to 1,999 KW",6,91,Carve-out,"Investor-owned utility (IOU)",Regulated,0.12,"Moderate = $0.11 - $0.15 per kWh","Supply-only/Avoided Cost","Enabling Legislation","Moderate = 10% to 25% of value stack",Yes,"High = greater than 50%",50,No,37
"Mesa Solar 1, LLC","Solar Rewards Community CO",Ground,2013,"-105.197794,39.951017","1600 66th Street",Boulder,Colorado,80303,Operational,"Public Service Company of Colorado (PSCo)","Clean Energy Collective (CEC)",381,"Less than 500 KW",5,19,Carve-out,"Investor-owned utility (IOU)",Regulated,0.12,"Moderate = $0.11 - $0.15 per kWh","Supply-only/Avoided Cost","Enabling Legislation","Moderate = 10% to 25% of value stack",Yes,"High = greater than 50%",100,No,8
"Mill One","New Jersey Community Solar Pilot Program Phase 2",Roof,2022,"-74.73393859108515,40.23298895546313","1 North Johnston Avenue",Hamilton,"New Jersey",08088,Planned,"Public Service Electric and Gas (PSE&G)","UGE USA,
Inc.",162,"Less than 500 KW",51,83,Carve-out,"Investor-owned utility (IOU)",Regulated,0.16,"High = more than $0.15 per kWh","Retail Rate","Enabling Legislation","High = more than 25% of value stack",Yes,"Low = less than 20%",18,No,33
"Mooers Community Solar Farms","Solar For All (NY-Sun)",Ground,2018,"-73.671185,44.933159","Boas Rd","Mooers Forks","New York",12959,Operational,"New York State Electric and Gas Corporation (NYSEG)","Delaware River Solar",2700,"More than 2 MW",37,999,Carve-out,"Investor-owned utility (IOU)",Deregulated,0.18,"High = more than $0.15 per kWh","Value of Solar","Enabling Legislation","Moderate = 10% to 25% of value stack",Yes,"High = greater than 50%",100,Yes,400
"Moorestown Solar 1 LLC","New Jersey Community Solar Pilot Program Phase 2",Roof,2022,"-74.96741098756965,39.964443671606226","550 Glen Avenue",Moorestown,"New Jersey",08057,Planned,"Public Service Electric and Gas (PSE&G)","Moorestown Solar 1 LLC",607,"500 KW to 1,999 KW",51,309,Carve-out,"Investor-owned utility (IOU)",Regulated,0.16,"High = more than $0.15 per kWh","Retail Rate","Enabling Legislation","High = more than 25% of value stack",Yes,"Low = less than 20%",18,No,124
"Moorestown Solar 2 LLC","New Jersey Community Solar Pilot Program Phase 2",Roof,2022,"-74.97080557592336,39.9638215482945","600 Glen Court",Moorestown,"New Jersey",08057,Planned,"Public Service Electric and Gas (PSE&G)","Moorestown Solar 2 LLC",482,"Less than 500 KW",51,246,Carve-out,"Investor-owned utility (IOU)",Regulated,0.16,"High = more than $0.15 per kWh","Retail Rate","Enabling Legislation","High = more than 25% of value stack",Yes,"Low = less than 20%",18,No,98
"Mt Hope Solar","Oregon Community Solar",Ground,2021,"-122.607417,45.126515","32998 OR HWY 213",Molalla,Oregon,97038,Operational,"Portland Gas and Electric (PGE)","Neighborhood Power",2502,"More than 2 MW",10,250,Carve-out,"Investor-owned utility (IOU)",Deregulated,0.11,"Moderate = $0.11 - $0.15 per kWh","Retail Rate","Enabling Legislation","Moderate = 10% to 25% of value stack",Yes,"Moderate = 20% to 50%",20,No,100
"Mtn Solar 1 LLC","Solar Rewards Community CO",Ground,2019,"-104.587151,39.777282","4401 Imboden Road ",Watkins,Colorado,80137,Operational,"Public Service Company of Colorado (PSCo)","Pivot Energy",1530,"500 KW to 1,999 KW",18,275,Carve-out,"Investor-owned utility (IOU)",Regulated,0.12,"Moderate = $0.11 - $0.15 per kWh","Supply-only/Avoided Cost","Enabling Legislation","Moderate = 10% to 25% of value stack",Yes,"High = greater than 50%",50,No,110
"Mtn Solar 2 LLC","Solar Rewards Community CO",Ground,2019,"-104.589639,39.767539","33850 E. 38th Ave.",Watkins,Colorado,80137,Operational,"Public Service Company of Colorado (PSCo)","Pivot Energy",1530,"500 KW to 1,999 KW",11,168,Carve-out,"Investor-owned utility (IOU)",Regulated,0.12,"Moderate = $0.11 - $0.15 per kWh","Supply-only/Avoided Cost","Enabling Legislation","Moderate = 10% to 25% of value stack",Yes,"High = greater than 50%",50,No,67
"Native Sun, LLC Tiny Town","Solar Rewards Community CO",Ground,2019,"-104.78666108741106,39.785778768420684","17291 Green Valley Ranch Blvd, Denver, CO 80239",Denver,Colorado,80239,Operational,"Public Service Company of Colorado (PSCo)","Pivot Energy",770,"500 KW to 1,999 KW",20,154,Carve-out,"Investor-owned utility (IOU)",Regulated,0.12,"Moderate = $0.11 - $0.15 per kWh","Supply-only/Avoided Cost","Enabling Legislation","Moderate = 10% to 25% of value stack",Yes,"High = greater than 50%",50,No,62
"NCS Meadows LLC","Maryland Community Solar Pilot Program",Roof,2022,"-76.91228658506088,38.86153741119867","5535 Marlboro Pike","District Heights",Maryland,20747,Planned,"Potomac Electric Power Company (Pepco)",,1349,"500 KW to 1,999 KW",30,405,Carve-out,"Investor-owned utility (IOU)",Deregulated,0.13,"Moderate = $0.11 - $0.15 per kWh","Retail Rate","Enabling Legislation","High = more than 25% of value stack",Yes,"Moderate = 20% to 50%",25,No,162
"Newark Solar 1 LLC","New Jersey Community Solar Pilot Program Phase 2",Roof,2022,"-74.14496969918835,40.72987163059833","397-447 Ferry
Street",Newark,"New Jersey",07105,Planned,"Public Service Electric and Gas (PSE&G)","Newark Solar 1 LLC",2162,"More than 2 MW",51,1102,Carve-out,"Investor-owned utility (IOU)",Regulated,0.16,"High = more than $0.15 per kWh","Retail Rate","Enabling Legislation","High = more than 25% of value stack",Yes,"Low = less than 20%",18,No,441
"Newton Department of Public Works parking lot canopy","Community Solar Share Initiative",Canopy,2021,"-71.21333307850489,42.31602059313335","74 Elliot St",Newton,Massachusetts,02464,Operational,Eversource,"Ameresco, Inc.",37,"Less than 500 KW",40,15,Carve-out,"Investor-owned utility (IOU)",Deregulated,0.22,"High = more than $0.15 per kWh","Retail Rate","Enabling Legislation","Moderate = 10% to 25% of value stack",Yes,"High = greater than 50%",100,Yes,15
"Nexamp Rochester","Solar For All (NY-Sun)",Ground,2019,"-74.207007,41.811611","4780 US-209",Rochester,"New York",12404,Operational,"Central Hudson Gas and Electric",Nexamp,5600,"More than 2 MW",18,1008,Carve-out,"Investor-owned utility (IOU)",Deregulated,0.18,"High = more than $0.15 per kWh","Value of Solar","Enabling Legislation","Moderate = 10% to 25% of value stack",Yes,"High = greater than 50%",100,Yes,403
"Nexamp Seneca","Solar For All (NY-Sun)",Ground,2019,"-77.019813,42.850528",,Geneva,"New York",14456,Operational,"New York State Electric and Gas Corporation (NYSEG)",Nexamp,2600,"More than 2 MW",50,1300,Carve-out,"Investor-owned utility (IOU)",Deregulated,0.18,"High = more than $0.15 per kWh","Value of Solar","Enabling Legislation","Moderate = 10% to 25% of value stack",Yes,"High = greater than 50%",100,Yes,520
"Nexamp Solar - South Brunswick","New Jersey Community Solar Pilot Program Phase 1",Roof,2021,"-74.51779124435963,40.428298644335236","3730 Route 1","South Brunswick Township","New Jersey",08902,Operational,"Public Service Electric and Gas (PSE&G)",Nexamp,954,"500 KW to 1,999 KW",51,486,Carve-out,"Investor-owned utility (IOU)",Regulated,0.16,"High = more than $0.15 per kWh","Retail Rate","Enabling Legislation","High = more than 25% of value stack",Yes,"Low = less than 20%",18,No,195
"Nexamp Solar - Woodbine","New Jersey Community Solar Pilot Program Phase 1",Ground,2021,"-74.80731086555203,39.2255586637783","1049 Fidler Road",Woodbine,"New Jersey",08270,Operational,atlantic-city-electric,Nexamp,3838,"More than 2 MW",51,1958,Carve-out,"Investor-owned utility (IOU)",Regulated,0.16,"High = more than $0.15 per kWh","Retail Rate","Enabling Legislation","High = more than 25% of value stack",Yes,"Low = less than 20%",18,No,783
"Next Grid Plum, LLC",SMART,Roof,2022,"-71.16515676979093,42.10677548401389",,Sharon,Massachusetts,,Planned,"Eversource MA East",,499,"Less than 500 KW",51,255,Carve-out,"Investor-owned utility (IOU)",Deregulated,0.22,"High = more than $0.15 per kWh","Retail Rate","Enabling Legislation","Moderate = 10% to 25% of value stack",Yes,"Moderate = 20% to 50%",35,Yes,102
"NextGrid Berrytree LLC",SMART,Canopy,2022,"-71.14532501259816,42.15853847726839",,Canton,Massachusetts,,Planned,"Eversource MA East",,499,"Less than 500 KW",51,254,Carve-out,"Investor-owned utility (IOU)",Deregulated,0.22,"High = more than $0.15 per kWh","Retail Rate","Enabling Legislation","Moderate = 10% to 25% of value stack",Yes,"Moderate = 20% to 50%",35,Yes,102
"NextGrid Canella LLC - Canopy",SMART,Canopy,2022,"-71.4163184688295,42.279302437096106",,Framingham,Massachusetts,,Planned,"Eversource MA East",,240,"Less than 500 KW",51,122,Carve-out,"Investor-owned utility (IOU)",Deregulated,0.22,"High = more than $0.15 per kWh","Retail Rate","Enabling Legislation","Moderate = 10% to 25% of value stack",Yes,"Moderate = 20% to 50%",35,Yes,49
"NextGrid Canella LLC - Roof",SMART,Roof,2022,"-71.41703500694851,42.27878342501018",,Framingham,Massachusetts,,Planned,"Eversource MA East",,125,"Less than 500 KW",51,64,Carve-out,"Investor-owned utility (IOU)",Deregulated,0.22,"High = more than $0.15 per kWh","Retail Rate","Enabling Legislation","Moderate = 10% to 25% of value stack",Yes,"Moderate = 20% to 50%",35,Yes,26
"NextGrid Falsebox LLC",SMART,Canopy,2022,"-71.42845530825093,42.24906230220437","162 Pond St",Ashland,Massachusetts,01721,Planned,Eversource,,125,"Less than 500 KW",51,64,Carve-out,"Investor-owned utility (IOU)",Deregulated,0.22,"High = more than $0.15 per kWh","Retail Rate","Enabling Legislation","Moderate = 10% to 25% of value stack",Yes,"Moderate = 20% to 50%",35,Yes,26
